Date	Open	High	Low	Close	Volume	Market Cap
2/3/2018	5.3	5.96	4.71	5.43	47,213,900	2,021,100,000
2/2/2018	6.08	6.08	3.77	5.3	94,399,400	2,319,700,000
2/1/2018	7.72	7.75	5.43	6.09	128,136,000	2,942,890,000
1/31/2018	8.27	8.82	7.15	7.68	178,997,000	3,151,000,000
1/30/2018	9.52	10.08	7.94	8.27	205,957,000	3,628,280,000
1/29/2018	9.43	9.63	8.62	9.47	120,820,000	3,582,480,000
1/28/2018	7.94	9.63	7.91	9.41	154,715,000	3,017,350,000
1/27/2018	7.93	8.07	7.67	7.86	42,756,600	3,012,180,000
1/26/2018	7.82	8.1	6.94	7.94	65,230,500	2,972,130,000
1/25/2018	8.38	8.73	7.65	7.84	84,307,600	3,183,380,000
1/24/2018	8.1	9.3	7.51	8.34	184,779,000	3,079,560,000
1/23/2018	8.12	8.73	7.18	8.12	87,696,600	3,087,210,000
1/22/2018	9.02	9.3	7.38	8.16	85,710,100	3,427,670,000
1/21/2018	10.29	10.33	8.38	8.88	79,298,200	3,909,760,000
1/20/2018	8.54	10.68	8.54	10.33	118,950,000	3,243,750,000
1/19/2018	7.86	8.77	7.38	8.43	77,194,800	2,985,450,000
1/18/2018	7.5	8.7	6.95	7.93	91,459,000	2,851,870,000
1/17/2018	7.45	8.12	4.99	7.47	106,760,000	2,831,510,000
1/16/2018	9.89	9.91	5.82	7.51	113,491,000	3,759,910,000
1/15/2018	10.61	10.78	9.49	9.87	95,147,400	4,031,390,000
1/14/2018	9.91	10.83	9.47	10.59	106,777,000	3,752,670,000
1/13/2018	9.92	10.42	9.41	9.92	107,243,000	3,755,250,000
1/12/2018	9.2	10.35	8.66	9.96	114,801,000	3,481,210,000
1/11/2018	11.07	11.68	7.76	9.2	200,895,000	4,189,070,000
1/10/2018	12.27	12.33	10.31	11.04	151,609,000	4,645,360,000
1/9/2018	10.38	12.64	10.34	12.19	259,024,000	3,928,180,000
1/8/2018	9.86	11.28	8.87	10.41	227,863,000	3,730,790,000
1/7/2018	7.79	10.5	7.76	9.92	283,778,000	2,947,310,000
1/6/2018	6.89	7.94	6.76	7.76	149,783,000	2,607,470,000
1/5/2018	7.31	7.89	6.37	6.84	161,902,000	2,765,270,000
1/4/2018	7.4	8.08	6.78	7.24	160,103,000	2,794,050,000
1/3/2018	6.48	7.41	6.25	7.34	147,000,000	2,446,920,000
1/2/2018	6.18	7.11	5.68	6.49	159,429,000	2,328,010,000
1/1/2018	5.35	6.43	4.98	6.16	103,225,000	2,017,570,000
12/31/2017	5.18	5.51	5.02	5.35	62,230,900	1,952,280,000
12/30/2017	5.53	5.53	4.77	5.2	65,365,800	2,082,760,000
12/29/2017	5.84	6.04	5.2	5.51	72,316,600	2,004,520,000
12/28/2017	5.13	6.04	4.44	5.79	143,201,000	1,465,880,000
12/27/2017	6.28	6.28	4.83	5.19	124,386,000	1,794,830,000
12/26/2017	6.99	7.34	4.97	6.18	217,605,000	1,998,530,000
12/25/2017	4.4	7.1	4.4	6.91	200,710,000	-
12/24/2017	4.12	4.34	3.25	4.34	51,895,300	-
12/23/2017	2.75	4.39	2.75	4.06	96,608,400	-
12/22/2017	2.94	3.13	1.97	2.73	55,008,500	-
12/21/2017	2.16	2.99	2.14	2.91	86,107,900	-
12/20/2017	2.14	2.21	1.88	2.16	46,317,300	427,608,000
12/19/2017	2.14	2.44	2.04	2.14	52,223,100	-
12/18/2017	2.83	3.54	1.55	2.16	206,305,000	-
12/17/2017	2.6	3.24	2.25	2.83	219,214	-
12/16/2017	2.4	3.26	2.37	2.6	209,230	-
12/15/2017	2.03	2.7	1.9	2.4	130,752	-
12/14/2017	2.02	2.13	1.92	2.02	35,517	-
12/13/2017	2.11	2.31	1.86	2.03	60,800	-
12/12/2017	1.97	2.35	1.9	2.11	162,836	-
12/11/2017	1.75	2.05	1.69	1.98	76,913	-
12/10/2017	1.88	1.93	1.61	1.76	83,091	-
12/9/2017	1.78	1.91	1.59	1.88	68,996	-
12/8/2017	1.78	1.84	1.51	1.78	87,178	-
12/7/2017	1.75	2.07	1.64	1.9	199,030	-
12/6/2017	1.58	1.81	1.57	1.75	216,482	-
12/5/2017	1.16	1.68	1.16	1.58	62,904	-
12/4/2017	1.55	1.59	1.15	1.16	95,590	-
12/3/2017	1.62	1.65	1.43	1.55	37,541	-
12/2/2017	1.46	1.64	1.46	1.62	25,697	-
12/1/2017	1.35	1.65	1.26	1.46	97,184	-
11/30/2017	1.12	1.63	1.11	1.35	23,448	-
11/29/2017	1.63	1.74	1.09	1.1	90,903	-
11/28/2017	1.4	1.63	1.4	1.62	117,213	-
11/27/2017	1	1.66	1	1.45	126,392	-
11/26/2017	1.13	1.18	0.959147	1	52,840	-
11/25/2017	1.1	1.2	1.09	1.19	12,393	-
11/24/2017	1.01	1.11	0.973021	1.1	63,073	-
11/23/2017	1.09	1.14	0.936029	1.01	39,387	-
11/22/2017	1.06	1.09	0.946389	1.09	29,666	-
11/21/2017	0.963688	1.06	0.878585	1.05	53,901	-
11/20/2017	1	1.13	0.919725	0.964074	37,446	-
11/19/2017	0.969894	1.12	0.907682	1	17,206	-
11/18/2017	0.973898	1.13	0.87775	0.978447	42,698	-
11/17/2017	1.03	1.11	0.891679	0.975336	31,045	-
11/16/2017	1	1.12	0.985271	1.04	32,680	-
11/15/2017	1.06	1.09	0.976417	1	36,238	-
11/14/2017	0.958108	1.1	0.9053	1.06	35,891	-
11/13/2017	1.04	1.12	0.922808	0.957364	26,404	-
11/12/2017	1.05	1.1	0.800991	1.04	63,451	-
11/11/2017	0.913627	1.05	0.731008	1.05	87,265	-
11/10/2017	1.23	1.36	0.854839	0.916497	172,543	-
11/9/2017	1.31	1.56	1.16	1.22	88,687	-
11/8/2017	1.41	1.41	0.971682	1.32	126,020	-
11/7/2017	1.73	2.01	0.763202	1.41	476,528	-
11/6/2017	1.59	2.07	1.39	1.73	348,604	-
11/5/2017	1.24	1.61	1.23	1.58	88,534	-
11/4/2017	1.35	1.41	1.15	1.4	55,451	-
11/3/2017	1.18	1.35	0.990123	1.35	51,631	-
11/2/2017	1.08	1.24	0.879071	1.17	276,079	-
11/1/2017	0.665505	1.22	0.661789	1.08	241,493	-
10/31/2017	0.534153	0.764108	0.5135	0.685691	110,856	-
10/30/2017	0.453817	0.578122	0.42357	0.565623	21,873	-
10/29/2017	0.477424	0.491858	0.431237	0.455864	27,956	-
10/28/2017	0.497721	0.582964	0.397951	0.477654	68,469	-
10/27/2017	0.408919	0.571872	0.403292	0.497052	71,509	-
