Date	Open	High	Low	Close	Volume	Market Cap
1/14/2018	0.059065	0.060483	0.05349	0.055894	14,117	6,488,370
1/13/2018	0.058259	0.06734	0.057168	0.059028	47,810	6,399,590
1/12/2018	0.058123	0.061595	0.053364	0.05832	37,121	6,374,390
1/11/2018	0.063189	0.064132	0.053291	0.057678	48,852	6,930,040
1/10/2018	0.059372	0.065375	0.057874	0.063255	25,251	6,508,730
1/9/2018	0.065379	0.077632	0.059344	0.059344	47,401	7,161,540
1/8/2018	0.070178	0.074238	0.06414	0.064882	39,511	7,679,010
1/7/2018	0.079732	0.082094	0.065286	0.070269	85,392	8,724,380
1/6/2018	0.075876	0.082588	0.071042	0.081157	57,406	8,299,080
1/5/2018	0.075341	0.079526	0.063343	0.075963	63,395	8,240,400
1/4/2018	0.080246	0.080973	0.068188	0.075282	36,779	8,776,160
1/3/2018	0.089359	0.089976	0.075089	0.079188	69,292	9,770,160
1/2/2018	0.070634	0.225968	0.070634	0.086027	130,667	7,720,770
1/1/2018	0.064751	0.07331	0.061775	0.070387	54,563	7,075,850
12/31/2017	0.057555	0.065022	0.053795	0.064532	36,315	6,287,840
12/30/2017	0.054964	0.060433	0.045792	0.058113	46,248	6,003,170
12/29/2017	0.059134	0.063589	0.045546	0.055212	35,054	6,457,150
12/28/2017	0.064669	0.065897	0.052697	0.058456	26,924	7,060,130
12/27/2017	0.059745	0.076648	0.057513	0.064765	39,119	6,522,550
12/26/2017	0.05145	0.076776	0.046496	0.058968	49,805	5,613,230
12/25/2017	0.059576	0.061838	0.050668	0.050668	23,804	6,499,700
12/24/2017	0.063655	0.063655	0.05262	0.057841	80,706	6,944,690
12/23/2017	0.058348	0.069041	0.056895	0.062499	100,522	6,365,520
12/22/2017	0.069405	0.070072	0.048442	0.057669	78,090	7,566,860
12/21/2017	0.075749	0.077011	0.067269	0.069077	92,144	8,258,400
12/20/2017	0.08578	0.091349	0.065963	0.075318	124,576	9,351,360
12/19/2017	0.143421	0.146418	0.071656	0.086348	143,552	15,634,900
12/18/2017	0.069604	0.147458	0.064902	0.142877	315,868	7,587,630
12/17/2017	0.041178	0.075357	0.038317	0.069411	137,723	4,488,750
12/16/2017	0.036378	0.041687	0.035267	0.041165	39,857	3,965,380
12/15/2017	0.032135	0.040339	0.03199	0.036332	49,653	3,502,810
12/14/2017	0.023206	0.032812	0.020272	0.032102	34,177	2,529,510
12/13/2017	0.026628	0.026957	0.022682	0.023269	13,366	2,902,480
12/12/2017	0.026125	0.02969	0.02531	0.026583	30,566	2,847,580
12/11/2017	0.031668	0.036891	0.025498	0.025955	18,518	3,451,760
12/10/2017	0.033483	0.035194	0.017527	0.031983	48,995	3,649,510
12/9/2017	0.025423	0.03989	0.023233	0.033349	58,465	2,770,830
12/8/2017	0.029172	0.02983	0.022542	0.025509	15,487	3,179,300
12/7/2017	0.025151	0.028478	0.024728	0.028338	43,457	2,741,020
12/6/2017	0.021289	0.028538	0.021289	0.02532	26,946	2,320,130
12/5/2017	0.037536	0.045268	0.021527	0.021527	42,929	4,090,740
12/4/2017	0.024749	0.037692	0.018548	0.037463	129,968	2,697,150
12/3/2017	0.011647	0.031958	0.011084	0.024642	41,320	1,268,790
12/2/2017	0.024552	0.03311	0.011456	0.01164	79,408	2,674,620
12/1/2017	0.03171	0.033095	0.022676	0.024578	95,823	3,454,330
11/30/2017	0.025071	0.031869	0.015285	0.031869	63,578	2,731,070
11/29/2017	0.026095	0.029724	0.018281	0.02468	82,466	2,842,590
11/28/2017	0.030641	0.030641	0.013588	0.026228	45,989	3,337,820
11/27/2017	0.030786	0.03182	0.022391	0.030541	71,460	3,353,110
11/26/2017	0.026466	0.036225	0.023661	0.030762	65,206	2,882,610
11/25/2017	0.035454	0.035807	0.022659	0.026457	21,220	3,860,660
11/24/2017	0.027954	0.037004	0.027724	0.035495	78,292	3,043,900
11/23/2017	0.039819	0.040298	0.027297	0.027297	26,397	4,335,880
11/22/2017	0.031542	0.04263	0.007589	0.039832	202,667	3,433,800
11/21/2017	0.031514	0.032948	0.025656	0.031483	20,507	3,430,630
11/20/2017	0.042022	0.042608	0.033147	0.033755	30,982	4,574,490
11/19/2017	0.034213	0.043548	0.032489	0.042142	52,858	3,724,720
11/18/2017	0.035658	0.038204	0.033001	0.034481	15,900	3,881,010
11/17/2017	0.036065	0.040609	0.034159	0.034932	47,570	3,925,170
11/16/2017	0.036043	0.038316	0.033568	0.035319	42,744	3,922,780
11/15/2017	0.033977	0.037541	0.033977	0.035985	9,875	3,697,890
11/14/2017	0.045157	0.046386	0.029569	0.034031	31,432	4,914,660
11/13/2017	0.043691	0.046987	0.032527	0.04506	80,537	4,755,120
11/12/2017	0.037393	0.048772	0.031824	0.043842	60,542	4,069,670
11/11/2017	0.062359	0.077634	0.036479	0.037453	37,723	6,786,650
11/10/2017	0.038246	0.072476	0.037528	0.062748	294,694	4,162,340
11/9/2017	0.041535	0.041535	0.036318	0.038095	32,992	4,520,310
11/8/2017	0.035429	0.041579	0.035429	0.041576	48,246	3,855,740
11/7/2017	0.029684	0.038925	0.029684	0.035535	58,758	3,230,470
11/6/2017	0.037408	0.042122	0.027503	0.029932	31,448	4,071,020
11/5/2017	0.034539	0.049987	0.033344	0.037246	62,477	3,758,810
11/4/2017	0.037715	0.040208	0.033526	0.035383	25,093	4,104,390
11/3/2017	0.035279	0.04615	0.030572	0.037841	31,410	3,839,170
11/2/2017	0.033843	0.044141	0.032123	0.034968	25,929	3,682,760
11/1/2017	0.032721	0.041445	0.023302	0.036384	35,122	3,560,720
10/31/2017	0.037127	0.040656	0.031866	0.033002	31,454	4,040,020
10/30/2017	0.04188	0.042772	0.033628	0.037255	26,931	4,555,400
10/29/2017	0.040505	0.04318	0.037445	0.042078	36,107	4,405,760
10/28/2017	0.038599	0.044096	0.038599	0.041188	24,219	4,198,420
10/27/2017	0.040119	0.04783	0.037582	0.038495	25,944	4,363,750
10/26/2017	0.03876	0.052272	0.037028	0.040095	40,833	4,215,710
10/25/2017	0.037603	0.040466	0.036061	0.038806	24,101	4,089,870
10/24/2017	0.043522	0.044701	0.036184	0.036626	26,600	4,733,500
10/23/2017	0.053422	0.06497	0.040452	0.043301	40,495	5,810,160
10/22/2017	0.078522	0.084302	0.051682	0.054979	29,390	8,539,870
10/21/2017	0.058121	0.114297	0.050184	0.089823	82,799	6,321,120
10/20/2017	0.053958	0.072435	0.046694	0.059904	47,309	5,868,160
10/19/2017	0.075103	0.08601	0.053679	0.053679	180,077	-
10/18/2017	0.040542	0.198383	0.034018	0.074476	285,440	-
10/17/2017	0.048735	0.059097	0.020763	0.040435	88,059	-
10/16/2017	0.026414	0.088092	0.025827	0.046821	80,788	-
10/15/2017	0.043957	0.2363	0.019026	0.026017	174,332	-
10/14/2017	0.001844	0.052228	0.001695	0.04387	32,429	-
10/13/2017	0.002019	0.002596	0.001775	0.001843	13,519	-
10/12/2017	0.001595	0.002063	0.001331	0.002013	17,759	-
10/11/2017	0.001678	0.002009	0.001368	0.001585	13,058	-
10/10/2017	0.002019	0.002165	0.001549	0.001676	12,495	-
10/9/2017	0.002215	0.002773	0.001778	0.002019	22,057	233,937
10/8/2017	0.001716	0.00252	0.001414	0.002217	45,838	181,269
10/7/2017	0.001081	0.003471	0.000952	0.001721	71,928	114,210
10/6/2017	0.001016	0.001086	0.000853	0.001081	5,634	107,346
10/5/2017	0.000964	0.00114	0.000847	0.001017	9,459	101,778
10/4/2017	0.001037	0.001122	0.000919	0.000963	2,464	109,568
10/3/2017	0.001074	0.001367	0.000822	0.001035	5,656	113,456
10/2/2017	0.001073	0.001263	0.000819	0.001075	10,434	113,331
10/1/2017	0.001169	0.001256	0.00099	0.001073	1,254	123,517
9/30/2017	0.001103	0.001237	0.00106	0.001169	684	116,484
9/29/2017	0.001079	0.001278	0.001069	0.001089	619	113,933
9/28/2017	0.001212	0.001288	0.001048	0.001082	2,614	128,003
9/27/2017	0.001278	0.001284	0.001114	0.001214	1,026	135,014
9/26/2017	0.001368	0.00139	0.001211	0.001282	552	144,468
9/25/2017	0.001299	0.001378	0.001116	0.00137	2,483	137,163
9/24/2017	0.00134	0.001431	0.001183	0.001295	995	141,495
9/23/2017	0.00127	0.001472	0.001106	0.00134	3,960	134,177
9/22/2017	0.001156	0.001466	0.001116	0.001274	4,069	122,145
9/21/2017	0.002071	0.002096	0.001095	0.001147	4,834	218,705
9/20/2017	0.001392	0.003103	0.001317	0.002082	7,403	147,027
9/19/2017	0.001664	0.001713	0.001145	0.001394	6,229	175,796
9/18/2017	0.001299	0.001765	0.001211	0.001662	2,326	137,246
9/17/2017	0.001722	0.001722	0.001232	0.00127	1,173	181,885
9/16/2017	0.001339	0.002331	0.001197	0.001721	12,888	141,411
9/15/2017	0.001569	0.001686	0.000997	0.001363	5,012	165,742
9/14/2017	0.001448	0.001986	0.001365	0.001555	16,791	152,922
9/13/2017	0.00107	0.001541	0.001012	0.001448	15,525	113,011
9/12/2017	0.001613	0.003735	0.000999	0.001074	11,996	170,386
9/11/2017	0.001079	0.001681	0.000911	0.001612	13,807	113,930
9/10/2017	0.001253	0.001253	0.001047	0.001085	711	132,302
9/9/2017	0.001617	0.00162	0.000996	0.001251	1,831	170,734
9/8/2017	0.001573	0.002382	0.001395	0.001615	12,104	166,146
9/7/2017	0.001312	0.001987	0.001032	0.001573	21,569	138,600
9/6/2017	0.001505	0.001929	0.00124	0.001322	2,578	158,912
9/5/2017	0.001598	0.00174	0.001426	0.00151	3,319	168,739
9/4/2017	0.001551	0.001637	0.001165	0.001591	7,272	163,830
9/3/2017	0.001418	0.001675	0.001418	0.001551	1,996	149,763
9/2/2017	0.00159	0.001625	0.001404	0.001438	861	167,902
9/1/2017	0.001845	0.001981	0.001542	0.001593	1,503	194,877
8/31/2017	0.002356	0.002356	0.001767	0.002121	1,305	248,789
8/30/2017	0.001872	0.002356	0.001638	0.002356	665	197,727
8/29/2017	0.001581	0.0024	0.001538	0.001873	1,605	166,969
8/28/2017	0.002504	0.002598	0.000545	0.001548	7,553	264,422
8/27/2017	0.002148	0.002664	0.001533	0.002483	1,964	226,886
8/26/2017	0.003537	0.003612	0.002433	0.002788	1,287	373,580
8/25/2017	0.002135	0.003954	0.00177	0.003452	3,975	225,524
8/24/2017	0.001727	0.002146	0.001704	0.002143	2,275	182,455
8/23/2017	0.001837	0.001899	0.001306	0.001545	1,401	194,060
8/22/2017	0.001896	0.002114	0.001735	0.00184	815	200,217
8/21/2017	0.00202	0.002159	0.001872	0.001883	1,088	213,383
8/20/2017	0.002015	0.002219	0.001866	0.001921	2,584	212,786
8/19/2017	0.002156	0.002203	0.00191	0.002022	1,382	227,744
8/18/2017	0.002113	0.002183	0.001792	0.002161	1,334	223,129
8/17/2017	0.002696	0.002726	0.001923	0.002139	2,294	284,800
8/16/2017	0.002528	0.002699	0.001519	0.002699	18,606	266,995
8/15/2017	0.002126	0.002934	0.001205	0.00251	11,090	224,506
8/14/2017	0.003335	0.00361	0.00207	0.002121	7,039	352,254
8/13/2017	0.002608	0.003881	0.002012	0.003333	11,008	275,449
8/12/2017	0.00387	0.003916	0.002447	0.002621	6,145	408,764
8/11/2017	0.003347	0.005147	0.002235	0.003876	10,394	353,558
